"","gene_index","negative_log_likelihood","mu","k1","k2","t0","phi","sd","alpha","beta","t0_lower","t0_upper","t0_std","k1_lower","k1_upper","k1_std","k2_lower","k2_upper","k2_std","mu_lower","mu_upper","mu_std","Fisher","Transform","Design_para"
"780","SPINK2",11911.095550853,2.73479297892502,0.0570301036674678,13.5188286078097,0.637221895166509,NA,NA,NA,NA,0.565,0.71,0.0369227572233478,-0.447,0.561,0.257367657164554,5.025,22.013,4.33373455825617,2.584,2.885,0.0766850653864895,"Non-singular",0,NA
"781","AK005305",9552.2274415102,2.77704157912279,12.8652292512134,2.9854910645793,0.239188905432806,NA,NA,NA,NA,0.165,0.314,0.0379760704144472,-4.869,30.599,9.04800331981646,2.098,3.873,0.452620318634774,2.604,2.95,0.0884991938887703,"Non-singular",0,NA
"782","FCGR4",12940.5904250545,3.03374548723339,4.07789215279152,12.8433857090554,0.590223288778066,NA,NA,NA,NA,0.544,0.637,0.0237135010130494,2.678,5.478,0.71437995078688,7.733,17.954,2.60740105631,2.883,3.185,0.076947527916092,"Non-singular",0,NA
"783","DEPDC7",20442.1143371952,6.20816345043958,0.212900830176991,0.599174279701881,0.584542319759415,NA,NA,NA,NA,0.25,0.919,0.170739423142702,-0.268,0.694,0.245439297484124,-0.774,1.972,0.700415609463612,6.067,6.349,0.0717674138713189,"Non-singular",1,NA
"784","SCNM1",25648.7327721253,3.77635531408099,5.04869169964127,0.0202019758913706,0.453095148522168,NA,NA,NA,NA,0.352,0.555,0.051821607339853,1.316,8.782,1.90452321017752,-0.387,0.428,0.207837519603433,3.616,3.936,0.0816670714177925,"Non-singular",0,NA
"785","ARL3",11062.502036537,2.01017456865807,0.00128929314246233,11.1523381403387,0.949804015210367,NA,NA,NA,NA,-0.637,2.536,0.809499321696787,-0.221,0.223,0.113228129539551,-819.74,842.045,423.924779075351,1.874,2.146,0.0693592520027598,"Non-singular",0,NA
"786","STK19",42829.7261177709,6.10684421458464,1.44580852851481,0.981002463423838,0.531280961432493,NA,NA,NA,NA,0.422,0.641,0.0559560326549011,0.449,2.442,0.508444621734154,0.205,1.757,0.396136637945267,5.962,6.252,0.0740284683104088,"Non-singular",1,NA
"787","RASSF1",37551.9759090426,6.03963963829163,0.0655047237599316,-5.11574724081339,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Singular",1,NA
"788","2010005H15RIK",23294.366923901,5.73538308317152,0.115997052149975,24.3766117267726,0.929957833812479,NA,NA,NA,NA,0.739,1.121,0.0976125069196343,0.003,0.229,0.0578417232640255,-140.924,189.677,84.3368806663184,5.582,5.889,0.0785025567287741,"Non-singular",1,NA
"789","NDRG1",71020.3245135878,7.01660968389422,0.330745171019847,52.057448488056,0.695209288302827,NA,NA,NA,NA,0.677,0.713,0.0091141591591266,0.149,0.512,0.0926853842119905,38.795,65.32,6.7664969425742,6.855,7.179,0.0826803366484053,"Non-singular",1,NA
